"","Gross cash income","Net farm income","Other related income","farm count","Gross cash income per farm","Net farm income per farm","Other related income per farm","Expenses","Expenses per farm"
"1",1.00000064357219,0.139500224365353,0.0488963621921291,0.000199346484623693,0.000807039521285265,0.000112625132555759,3.94187963945155e-05,0.860500419206833,0.000694575281776015
"2",0.193517490441746,0.0436103820421479,0.00157144238524585,4.8267913952468e-05,0.000645020223451481,0.000145447314043437,5.30947053477148e-06,0.149907108399598,0.000499733802454552
"3",0.154697859752427,0.0420170582025769,0.00772013105060424,3.94187963945155e-05,0.000631344314498282,0.00017151198757777,3.15350371156124e-05,0.112680801549851,0.00045999321996702
"4",0.13734023521598,0.0222943058824589,0.00335236751704541,0.000145769100136453,0.00015156124981075,2.46166361157587e-05,3.70054006968921e-06,0.115045929333521,0.000126944613694991
"5",0.233396601842322,0.0434610732949882,0.0128035468550317,0.000132093191183254,0.000284298013180037,5.29338123012066e-05,1.5606625511298e-05,0.189935528547334,0.00023136420087883
"6",0.173332331505964,0.0335320416088725,0.0101533165929482,0.00031116715194691,8.96174269050823e-05,1.73764490228885e-05,5.30947053477148e-06,0.139800289897091,7.22409778821938e-05
"7",0.044963170777189,0.00806878628238757,0.000564412807150859,0.00013064515376468,5.534720799883e-05,9.97536888351006e-06,6.43572186032907e-07,0.0368943844948015,4.53718391153199e-05
"8",0.139952977398228,0.0179139926912725,0.00104564390925697,2.07552029995612e-05,0.00108490181260497,0.0001388506991366,8.04465232541134e-06,0.122038984706955,0.000946051113468373
"9",0.64034611955737,0.109948676727094,0.0341625814581383,0.000102971549765265,0.00100059385623466,0.000171833773670786,5.34164914407313e-05,0.530397442830276,0.000828760082563876
"10",0.147835288639712,0.0201454183532951,0.00689088828890084,0.000154135538554881,0.000154296431601389,2.10769890925777e-05,7.2401870928702e-06,0.127689870286417,0.000133219442508812
"11",0.128858919162346,0.0283676966020515,0.00668156643539364,0.00129969402969346,1.59284116043144e-05,3.53964702318099e-06,8.04465232541134e-07,0.100491222560294,1.23887645811335e-05
